month,noCDI,rep_1stcomp_any_mo,rep_1stcompN_mo,obs3w,rep3w,obsp,repp,obst,rept,vocab_type,wordcount,obs3w_label,rep3w_label,obsp_label,repp_label,subj
18,FALSE,6,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,CDIcomp,273,NA,NA,NA,NA,309
6,FALSE,7,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,CDIcomp,0,"44c, 0w","44c, 0w","44np, 0p","40np, 4p",749
7,FALSE,7,7,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,CDIcomp,9,"44c, 0w","44c, 0w","44np, 0p","35np, 9p",749
8,FALSE,7,7,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,CDIcomp,53,"44c, 0w","43c, 1w","39np, 5p","33np, 11p",749
9,FALSE,7,7,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,CDIcomp,88,"44c, 0w","40c, 4w","38np, 6p","26np, 18p",749
10,FALSE,7,7,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,CDIcomp,147,"41c, 3w","37c, 7w","29np, 15p","21np, 23p",749
11,FALSE,7,7,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,CDIcomp,202,"36c, 8w","24c, 20w","25np, 19p","12np, 32p",749
12,FALSE,7,7,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,CDIcomp,223,"19c, 25w","15c, 29w","11np, 33p","6np, 38p",749
13,FALSE,7,7,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,CDIcomp,249,"14c, 30w","8c, 36w","10np, 34p","3np, 41p",749
14,FALSE,7,7,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,CDIcomp,265,"7c, 37w","4c, 40w","5np, 39p","1np, 43p",749
15,FALSE,7,7,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,CDIcomp,285,"5c, 39w","3c, 41w","5np, 39p","1np, 43p",749
16,FALSE,7,7,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,CDIcomp,302,"4c, 40w","0c, 44w","0np, 44p","0np, 44p",749
17,FALSE,7,7,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,CDIcomp,326,"0c, 44w","0c, 44w","0np, 44p","0np, 44p",749
18,FALSE,7,7,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,CDIcomp,337,NA,NA,NA,NA,749
6,FALSE,6,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,CDIcomp,10,"44c, 0w","44c, 0w","44np, 0p","40np, 4p",623
7,FALSE,6,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,CDIcomp,13,"44c, 0w","44c, 0w","44np, 0p","35np, 9p",623
8,FALSE,6,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,CDIcomp,80,"44c, 0w","43c, 1w","39np, 5p","33np, 11p",623
9,FALSE,6,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,CDIcomp,102,"44c, 0w","40c, 4w","38np, 6p","26np, 18p",623
